distortion_id,distortion_name,images,srocc,krocc,paper_srocc,ours_signed_srocc,ours_paper_comparable,difference,abs_difference,matches_1e-4
1,Additive Gaussian noise,125,0.8499125952366688,0.6415387082290709,0.8499,0.8499125952366688,0.8499125952366688,1.2595236668855314e-05,1.2595236668855314e-05,True
2,Additive noise in color components,125,0.7380043873030286,0.5258266041091312,0.738,0.7380043873030286,0.7380043873030286,4.387303028652312e-06,4.387303028652312e-06,True
3,Spatially correlated noise,125,0.8150348775342802,0.61004264287537,0.815,0.8150348775342802,0.8150348775342802,3.487753428021989e-05,3.487753428021989e-05,True
4,Masked noise,125,0.6489920752212789,0.4899619960601107,0.649,0.6489920752212789,0.6489920752212789,-7.924778721135617e-06,7.924778721135617e-06,True
5,High frequency noise,125,0.8874578909080434,0.6725221108129378,0.8875,0.8874578909080434,0.8874578909080434,-4.210909195656587e-05,4.210909195656587e-05,True
6,Impulse noise,125,0.7703346639257329,0.5665205814517585,0.7703,0.7703346639257329,0.7703346639257329,3.4663925732925094e-05,3.4663925732925094e-05,True
7,Quantization noise,125,0.8699115806992035,0.6685605008417872,0.8729,0.8699115806992035,0.8699115806992035,-0.0029884193007965187,0.0029884193007965187,False
8,Gaussian blur,125,0.861402716497875,0.6539306027944615,0.8614,0.861402716497875,0.861402716497875,2.716497874977186e-06,2.716497874977186e-06,True
9,Image denoising,125,0.875173389577501,0.6782003597638371,0.8752,0.875173389577501,0.875173389577501,-2.6610422498962727e-05,2.6610422498962727e-05,True
10,JPEG compression,125,0.895213927083227,0.6954109016778267,0.8952,0.895213927083227,0.895213927083227,1.3927083227005532e-05,1.3927083227005532e-05,True
11,JPEG2000 compression,125,0.9325722396939709,0.7689925266929298,0.9326,0.9325722396939709,0.9325722396939709,-2.7760306029134263e-05,2.7760306029134263e-05,True
12,JPEG transmission errors,125,0.42329422392787647,0.29559831827858596,0.4233,0.42329422392787647,0.42329422392787647,-5.776072123542253e-06,5.776072123542253e-06,True
13,JPEG2000 transmission errors,125,0.5261607232161584,0.3555985987005878,0.5262,0.5261607232161584,0.5261607232161584,-3.927678384163524e-05,3.927678384163524e-05,True
14,Non-eccentricity pattern noise (NEPN),125,-0.016501858069636263,-0.012017846183601863,0.0165,-0.016501858069636263,0.016501858069636263,1.8580696362624494e-06,1.8580696362624494e-06,True
15,Local block-wise distortions (LBD),125,0.08894589699733749,0.06212466589226484,0.0889,0.08894589699733749,0.08894589699733749,4.5896997337480094e-05,4.5896997337480094e-05,True
16,Mean shift,125,0.18119200173403724,0.12498388660000966,0.1812,0.18119200173403724,0.18119200173403724,-7.998265962760875e-06,7.998265962760875e-06,True
17,Contrast change,125,0.2840548453716226,0.18355493824984687,0.284,0.2840548453716226,0.2840548453716226,5.484537162264713e-05,5.484537162264713e-05,True
18,Change of color saturation,125,0.5114209962213796,0.3547179819343032,0.5557,0.5114209962213796,0.5114209962213796,-0.044279003778620374,0.044279003778620374,False
19,Multiplicative Gaussian noise,125,0.7589524910249387,0.5392113117334847,0.759,0.7589524910249387,0.7589524910249387,-4.750897506133889e-05,4.750897506133889e-05,True
20,Comfort noise,125,0.2989179524554379,0.20905163771420626,0.3181,0.2989179524554379,0.2989179524554379,-0.019182047544562097,0.019182047544562097,False
21,Lossy compression of noisy images,125,0.8458053823929519,0.6602971033806295,0.8458,0.8458053823929519,0.8458053823929519,5.382392951891468e-06,5.382392951891468e-06,True
22,Image color quantization with dither,125,0.8042814395324758,0.595508538167178,0.8043,0.8042814395324758,0.8042814395324758,-1.856046752424234e-05,1.856046752424234e-05,True
23,Chromatic aberrations,125,0.7176563839602871,0.5754486038803216,0.7177,0.7176563839602871,0.7176563839602871,-4.3616039712923715e-05,4.3616039712923715e-05,True
24,Sparse sampling and reconstruction,125,0.9196230386065299,0.7510810329723123,0.9196,0.9196230386065299,0.9196230386065299,2.3038606529968142e-05,2.3038606529968142e-05,True
